Date,Open,High,Low,Close,Adj Close,Volume
2002-02-21,11.666700,11.733300,11.333300,11.373300,2.038752,14600850
2002-02-22,11.533300,11.840000,11.340000,11.736700,2.103895,18676380
2002-02-25,11.863300,11.933300,11.460000,11.566700,2.073420,13056180
2002-02-26,11.666700,12.290000,11.520000,12.156700,2.179183,40246755
2002-02-27,12.133300,12.636700,12.133300,12.403300,2.223387,45503505
2002-02-28,12.573300,12.666700,11.163300,11.213300,2.010071,51586080
2002-03-01,11.070000,12.066700,11.070000,11.833300,2.121210,19685745
2002-03-04,12.400000,12.400000,11.750000,12.316700,2.207863,17453760
2002-03-05,12.400000,12.733300,12.210000,12.570000,2.253269,33597270
2002-03-06,12.533300,12.533300,11.673300,11.800000,2.115241,27414915
2002-03-07,11.866700,12.033300,11.703300,11.836700,2.121820,12504840
2002-03-08,11.983300,11.983300,11.473300,11.556700,2.071627,9583965
2002-03-11,11.693300,11.756700,11.306700,11.410000,2.045331,7740090
2002-03-12,11.500000,11.600000,11.283300,11.343300,2.033374,7377000
2002-03-13,11.280000,11.520000,11.280000,11.420000,2.047123,7027290
2002-03-14,11.466700,11.533300,11.293300,11.326700,2.030399,5510280
2002-03-15,11.400000,11.760000,11.400000,11.473300,2.056678,8815350
2002-03-18,11.600000,11.696700,11.370000,11.413300,2.045922,5460975
2002-03-19,11.453300,11.466700,11.140000,11.216700,2.010679,3609945
2002-03-20,11.133300,11.490000,11.036700,11.396700,2.042946,8942640
2002-03-21,11.466700,11.466700,10.980000,11.036700,1.978414,8320995
2002-03-22,11.133300,11.226700,11.000000,11.090000,1.987968,8113995
2002-03-25,null,null,null,null,null,null
2002-03-26,11.100000,11.243300,11.000000,11.033300,1.977804,3611040
2002-03-27,11.013300,11.203300,10.990000,11.030000,1.977213,4706190
2002-03-28,11.100000,11.393300,11.093300,11.266700,2.019643,12737670
2002-03-29,null,null,null,null,null,null
2002-04-01,11.333300,12.393300,11.333300,12.053300,2.160647,19346415
2002-04-02,12.200000,12.633300,12.006700,12.233300,2.192914,16392375
2002-04-03,12.400000,12.956700,12.273300,12.586700,2.256263,49739370
2002-04-04,12.866700,12.866700,12.400000,12.490000,2.238929,23933595
2002-04-05,12.596700,12.726700,12.340000,12.520000,2.244306,17254725
2002-04-08,12.666700,12.833300,12.360000,12.393300,2.221595,13612785
2002-04-09,12.380000,12.503300,12.116700,12.163300,2.180366,10381395
2002-04-10,12.330000,12.330000,11.553300,11.713300,2.099700,18576300
2002-04-11,11.933300,12.066700,11.670000,11.800000,2.115241,20186835
